,CASENO,OFFENSE,CVLEGEND,BLKADDR,City,State,Day,Lat,Lon,timestamp
4311,17078100,BURGLARY AUTO,BURGLARY - VEHICLE,2000 FOURTH ST,Berkeley,CA,Sunday,37.867026,-122.299737,2017-12-24 21:00:00
4312,17092481,BURGLARY AUTO,BURGLARY - VEHICLE,2000 ALLSTON WAY,Berkeley,CA,Monday,37.869096,-122.270137,2017-12-11 21:00:00
4313,17049814,DISTURBANCE,DISORDERLY CONDUCT,1100 SAN PABLO AVE,Berkeley,CA,Wednesday,37.883948,-122.296991,2017-08-23 11:05:00
4314,18004475,BURGLARY AUTO,BURGLARY - VEHICLE,CLAREMONT AVENUE & AVALON AVE,Berkeley,CA,Monday,37.859819,-122.244377,2018-01-22 16:00:00
4315,17066961,THEFT MISD. (UNDER $950),LARCENY,1500 SHATTUCK AVE,Berkeley,CA,Friday,37.88022700000001,-122.26936,2017-11-03 13:00:00
4316,17092018,THEFT MISD. (UNDER $950),LARCENY,CHESTNUT STREET & BERKELEY WAY,Berkeley,CA,Monday,37.87039,-122.28811,2017-09-11 02:10:00
4317,18001753,ROBBERY,ROBBERY,3000 SHATTUCK AVE,Berkeley,CA,Tuesday,37.855026,-122.266475,2018-01-09 22:17:00
4318,17074470,VEHICLE RECOVERED,RECOVERED VEHICLE,SAN PABLO AVENUE & PARDEE ST,Berkeley,CA,Friday,37.857186,-122.28836,2017-12-08 02:22:00
4319,17058741,NARCOTICS,DRUG VIOLATION,2600 DERBY ST,Berkeley,CA,Thursday,37.861689,-122.255732,2017-09-28 20:35:00
4320,17050795,THEFT MISD. (UNDER $950),LARCENY,1600 SIXTY-SECOND ST,Berkeley,CA,Thursday,37.872599,-122.30388899999998,2017-08-24 12:00:00
4321,17063509,ASSAULT/BATTERY MISD.,ASSAULT,3100 KING ST,Berkeley,CA,Thursday,37.851928,-122.274017,2017-10-19 19:30:00
4322,18005470,THEFT MISD. (UNDER $950),LARCENY,1000 EUCLID AVE,Berkeley,CA,Tuesday,37.891594,-122.264883,2018-01-23 17:54:00
4323,18090245,BURGLARY AUTO,BURGLARY - VEHICLE,800 INDIAN ROCK AVE,Berkeley,CA,Monday,37.892875,-122.268748,2018-01-29 07:00:00
4324,17050773,ASSAULT/BATTERY FEL.,ASSAULT,2500 DURANT AVE,Berkeley,CA,Sunday,37.867852,-122.258699,2017-08-27 02:24:00
4325,17057645,BURGLARY AUTO,BURGLARY - VEHICLE,900 HEINZ AVE,Berkeley,CA,Saturday,37.853552,-122.29156100000002,2017-09-23 19:11:00
4326,17078869,THEFT MISD. (UNDER $950),LARCENY,1600 SHATTUCK AVE,Berkeley,CA,Saturday,37.878112,-122.269114,2017-12-30 11:07:00
4327,17072524,THEFT FROM PERSON,LARCENY,TELEGRAPH AVENUE & DOWLING PL,Berkeley,CA,Wednesday,37.854443,-122.259878,2017-11-29 13:45:00
4328,17058658,BURGLARY AUTO,BURGLARY - VEHICLE,2300 SAN PABLO AVE,Berkeley,CA,Thursday,37.864411,-122.290705,2017-09-28 13:51:00
4329,17075120,ASSAULT/BATTERY FEL.,ASSAULT,2300 CHANNING WAY,Berkeley,CA,Monday,37.86632700000001,-122.263359,2017-12-11 00:59:00
4330,18006329,ROBBERY,ROBBERY,RUSSELL STREET & ADELINE ST,Berkeley,CA,Thursday,37.856528,-122.268297,2018-02-01 00:45:00
4331,17066131,DISTURBANCE,DISORDERLY CONDUCT,600 SANTA BARBARA RD,Berkeley,CA,Monday,37.899656,-122.273738,2017-10-30 11:00:00
4332,17049357,VEHICLE STOLEN,MOTOR VEHICLE THEFT,800 HEINZ AVE,Berkeley,CA,Sunday,37.853085,-122.293832,2017-08-20 14:00:00
4333,17050020,BURGLARY AUTO,BURGLARY - VEHICLE,PRINCE STREET & FULTON ST,Berkeley,CA,Wednesday,37.85351,-122.263076,2017-08-23 23:00:00
4334,17057397,ROBBERY,ROBBERY,2400 TELEGRAPH AVE,Berkeley,CA,Friday,37.866761,-122.258779,2017-09-22 20:47:00
4335,17091619,BURGLARY AUTO,BURGLARY - VEHICLE,900 HEINZ AVE,Berkeley,CA,Monday,37.853552,-122.29156100000002,2017-08-14 18:30:00
4336,17056965,ASSAULT/BATTERY MISD.,ASSAULT,DURANT AVENUE & TELEGRAPH AVE,Berkeley,CA,Thursday,37.867816,-122.258994,2017-09-21 08:30:00
4337,17077386,THEFT MISD. (UNDER $950),LARCENY,100 BERKELEY SQ,Berkeley,CA,Thursday,37.871171,-122.267718,2017-12-21 19:52:00
4338,17092017,BURGLARY AUTO,BURGLARY - VEHICLE,2450 DURANT AVE,Berkeley,CA,Wednesday,37.867668,-122.260109,2017-09-27 11:30:00
